1E11 892
5C6 3E9
2296 A51
240F 3E
1D21 8AB
89F 24F
242F 444
2009 21F6
1733 19F7
18D1 1F4C
2311 1A79
2522 D2A
1FF5 28A
20EA E11
2257 1F88
2227 D6E
1313 18B7
109C 15AF
A41 1923
94E 472
9AE 1332
54B 1D1E
26E5 AB7
2296 2648
182 1FE6
2488 BB0
1225 1459
A11 E55
24F0 128B
1CBA 223
104F 16BE
7E0 22D3
24FF 9A5
1B48 EF7
15AE 4DF
85F 1BCC
20E7 22D5
BE9 21BA
198E 1FCF
133B 22F
1520 EE2
1CF0 661
245C 2570
1B76 14B4
1E0D 986
F3A 249E
5ED 2FC
167F 3DC
16CF BC8
25F1 1BBE
1E37 CF5
1D84 70
2146 153F
213D D90
15F8 1B22
1A64 2010
24D3 1CFD
9CC 212C
242F 2257
1C4F 2311
1CCD 1106
1EE 1D53
13EF 941
670 20BA
2478 48D
1248 D88
1B43 DD5
1FC0 98C
114 BF
2528 224F
196E 49
1D89 210
B66 3C7
159D 20EE
393 15EE
152B 1779
45B 25F3
1533 204B
218A 10E1
572 1D62
2AF 60E
14B9 1681
1FA7 22ED
B1E 1F22
1AEF 707
263B 2223
270D 248B
15A3 A54
14FE 14FC
1372 118
21E2 131
63A 3DE
2282 1B9D
976 400
E9 C98
236B 65D
1EF4 1111
11E4 22D3
D54 258B
E6 1515
F16 154
578 C81
C9C 1625
BFB 1DDA
1C15 10D5
6A1 1129
261 19EF
A1C 2207
2097 1EC
8E5 120
EFF CF
72E 2532
22AC 21FC
477 2053
9E7 139F
185D 1A79
1AF4 25BE
71D 20BE
236F 1B10
229 534
91A 18FE
1D3F 1477
196E 940
9F4 2661
1293 99B
1AA2 20C3
F63 6FD
1FBB F7C
1A60 26CD
1C7A 110F
1DE0 3C8
538 302
2262 B9E
6F6 AD1
B68 1E8E
1648 24B6
10B5 1413
2268 136C
2167 1C4F
1207 13D
4FD 8C2
17B7 25CA
608 1C9A
23A1 B1A
12D5 24C8
8EF 1F4F
55E 17CF
11FD 1D07
120A 1B0E
87D 23DA
1830 122C
26CE 1596
2331 187C
138A 12CD
10C5 2335
1351 319
20F8 1746
13F2 B9
20AB 11EB
269C 57A
95 F24
982 1C39
69D 10DB
113B 549
E1F 25A4
640 2010
1974 2170
17EA E2A
872 288
108B 860
2489 15D9
1960 697
252A 22CF
102 3C5
1488 873
22B6 1B8B
1FE8 2062
DAB D8E
298 1A57
DB3 18A3
888 1C67
1408 136E
2504 23A0
24C 174A
1009 1EAE
F38 2622
6DF 2703
2197 10FE
1167 1D63
1163 660
CA2 1A06
F3C 1276
1C4B 23D1
1CBF DF5
1C68 3CE
628 ECE
21C0 559
798 23CD
1A14 1D8F
1852 202B
1152 F4D
1F35 CE2
1A30 396
1F76 D2D
2535 2327
108A 1A2E
1955 4BF
1DEF 1E7D
2E4 10A4
116C D
2217 1258
2515 20FC
F0C 15A5
233 856
871 30D
1393 1AD
2129 13F0
674 D62
2014 11D
259 61D
EC2 1F40
17F2 B5D
24E7 2F9
23A5 25D
1376 AFE
15A3 C9F
19F5 2132
139 1EA6
2E 1630
1AF2 3E2
1AE3 1C37
1EE2 282
1D36 1BF6
10B6 E73
71 2630
18DA 18BD
B90 7AB
13BF 2E1
14C3 1A57
22D3 C19
1493 BC9
1A9F A07
189B 1AA3
21DE 107D
8BC 14C3
18B8 337
B88 1D02
364 8B0
26E7 9F4
189F B19
1903 6C4
2046 1017
17E3 1E35
CE4 554
5EA 11DA
257A 13FA
261E 350
A29 1B1E
1629 47B
1A6E EDB
ACC 2194
1B2B 1DD5
FD3 FA2
C70 337
7FA 1BFD
73D BEE
111A 174F
20DF 21D2
1804 20CD
6CD 11A7
13EA 2695
1009 205F
213E 713
19BC 1272
1B80 2223
16AC 390
A67 1527
19C9 9F9
1FF9 2401
11A8 116F
13A4 D64
1040 E8D
15A7 1A24
1835 B82
15DF 26D
559 DDE
2FE 1A7B
1E65 2485
179F 1DB0
ADD 1D4E
315 1791
1F4A 235F
26F 206F
D35 CDE
203C B6C
46B 1AD2
1BD7 1D90
1BA9 18E1
23AA 573
F9 1136
42 B18
20B 537
19CC 1978
35B 1DB5
23C0 E38
2153 257F
AD5 D3A
140F 989
364 A81
16DD 2354
120E 11CB
A46 1024
1736 AEE
110F 70E
1283 23F3
1522 21B8
F3A C5E
3C3 25F8
2055 1A1E
B93 1470
F16 208F
1591 261C
1E1A 1A98
2049 1401
245A FA0
2413 22E4
2429 1F1D
155B 16FD
12B9 237A
E5C 207A
2235 BBD
1ED4 11BA
230D 1B3E
219C 11D7
1976 1102
315 441
1844 128
18B4 385
23E1 731
1318 232A
2025 8CA
116C 1AB1
88F 24A9
C90 1B25
2050 148C
2337 C78
805 1725
24DC D6A
33B 88C
1208 5E1
144A D6F
1564 114F
26BD 220F
1E1A D48
1E27 760
F07 20A2
1A0A 3E5
1EE0 232E
158B 11D9
141C 1203
89D 2406
224C 5A1
170E 1263
580 1B57
11B0 1AD
AB8 93D
1E71 9AA
16A9 1E39
1851 210
571 12F9
271 ADB
192A 1CFD
1FC 1BAE
26EA ACE
780 17F2
162 1379
35B 2071
9EA EA
2117 12F6
1F80 24F6
1A06 1471
1F1B B6C
1A83 1005
256C 25F0
1758 2650
1D57 2247
13FD D59
2CD 1D26
F7B 25B4
D40 B28
1B51 1B28
22F1 6E5
1E31 1499
1BC2 11B1
EEF FCE
242A 677
6CC 1284
160 1D30
1F24 155F
1C77 12E7
13CB 1157
13A2 B3E
21BE 37A
11EE 4FD
19A1 20DF
1CCD 1716
DBE B34
23DF 1E2
8BD 1E18
2441 DD0
246 DF0
E60 D4B
6F3 CB8
2146 227B
E4C 1278
17AC 22EC
5B8 D70
1084 14AD
2245 1D8A
543 1D71
EEC 770
F89 C76
E8E AA6
2698 813
190B 1DCE
1D5F 340
1FE8 1731
2619 2B
D4F 2088
16CD E29
1134 1C08
20B4 1B02
A8D 1F63
BC3 1BDA
24D 1C22
54 82D
1B03 E79
1949 2BE
19F1 907
1C55 32F
173E C0E
D4F 2323
1385 1E12
173B 1D83
1518 1288
1C58 9F
1D1A 968
E84 1D47
211C 6B6
23AA 2497
A40 49E
